,User,Tweets,Country,category,likes,date
0,EmmanuelMacron,plastic pollution destroying biodiversity health circular economy 100 recyclable recycled plastic innovation search alternatives working eliminate moving partners,France,Health,339165,2023-04-17 04:23:42+00:00
1,EmmanuelMacron,plastic pollution destroys biodiversity health circular economy 100 recyclable recycled plastic innovation search alternatives working put end mobilizing partners,France,Health,302416,2023-04-17 04:03:46+00:00
2,EmmanuelMacron,betting lady going relive part national destiny part history still much show favour reflection creation museum dedicated,France,Society & Culture,286337,2023-04-17 04:03:15+00:00
3,EmmanuelMacron,5 years revive lady titanium artisans restaurateurs workers companions teams site assured us morning well meeting 2024,France,Society & Culture,272432,2023-04-17 04:02:50+00:00
4,EmmanuelMacron,thanks bedankt beste mark lang leve de vriendschap tussen nederland en frankrijk,France,Society & Culture,248436,2023-04-16 04:15:15+00:00
5,EmmanuelMacron,netherlands france closer ever share vision stronger united european determined strengthen sovereignty opening new opportunities moving forward together meaning state visit,France,Society & Culture,228387,2023-04-16 04:15:10+00:00
6,EmmanuelMacron,europe let us continue invest cooperate breakup technologies cutting edge promising companies french dutch making path european competitive even artificial intelligence affirms,France,Business & Finance,200616,2023-04-16 04:09:19+00:00
7,EmmanuelMacron,building unity complexity european union treasure,France,Society & Culture,179206,2023-04-16 04:08:23+00:00
8,EmmanuelMacron,strategic european autonomy building france,France,Society & Culture,151251,2023-04-16 04:07:37+00:00
9,EmmanuelMacron,economic sovereignty european objective achieve european ceased naive defend interests values independence,France,Business & Finance,146854,2023-04-16 04:06:58+00:00
10,EmmanuelMacron,last july buch test made promise victims fires side course campsites reopen next season blue waves destroyed reopened bravo craftsmen renaissance,France,Society & Culture,144309,2023-04-16 04:06:33+00:00
11,EmmanuelMacron,reciprocal dynamic service peace stability prosperity,France,Society & Culture,114137,2023-04-16 04:05:22+00:00
12,EmmanuelMacron,reciprocal dynamic peace stability prosperity,France,Society & Culture,112736,2023-04-15 09:46:12+00:00
13,EmmanuelMacron,think well families find people still trapped snow rescue forces mobilized thoughts also accompany,France,Society & Culture,112186,2023-04-15 08:47:15+00:00
14,EmmanuelMacron,emotion marseille building street tivoli collapsed last night think affected people relatives research continues important means deployed thanks firefighters rescues mobilized,France,Society & Culture,108823,2023-04-15 07:58:55+00:00
15,EmmanuelMacron,thank canton long live friendship china france,France,Society & Culture,107906,2023-04-15 04:00:29+00:00
16,EmmanuelMacron,pekin canton met students learn language enthusiastic voluntary youth entrepreneurs desire innovate artists inspired france much together vivai lamity entre la chine et la france,France,Society & Culture,102388,2023-04-15 03:58:11+00:00
17,EmmanuelMacron,president ursula von der leyen pekin carried together europeans common vision open field possibilities europe china mutual interest,France,Society & Culture,102054,2023-04-15 03:48:39+00:00
18,EmmanuelMacron,europe building strategic autonomy service joint project twin french independence china approach based greater reciprocity view achieving new balance,France,Society & Culture,88162,2023-04-15 03:47:17+00:00
20,EmmanuelMacron,convinced china major role play building peace come discussions move forward president xi jinping also talk business climate biodiversity food security,France,Business & Finance,78517,2023-04-15 03:46:27+00:00
